Años;Utiliza Internet en los últimos 3 meses;Utiliza Internet al menos 5 días/semana;Compra por Internet en los últimos 3 meses;Usa teléfono móvil
2023;82;67;28.5;96.1
2022;80;64.4;29.3;96.4
2021;76.1;59.6;26;96.4
2020;72.4;53.6;23.4;94.9
2019;69.1;47.7;19.1;89.8
2018;57;39.5;16.6;
2017;51.9;36.6;15.3;86.8
2016;45.7;30.3;12.9;
2015;41.9;25.8;10.2;83.7
2014;37.4;25.2;7.8;81.7
2013;31.4;20.4;5.7;80.4
2012;27.4;17.1;5.8;80.1
2011;22.7;14.4;4.6;74.7
2010;20.3;12.4;3.7;73.1
2009;17;9.3;2.8;69.6
2008;13.7;6.9;2.3;62.9
2007;9.5;4.7;1.9;57.1
2006;7.6;3.9;1.2;48.6
